timeStamp,gps_speed,cTemp,eLoad,iat,kpl,rpm,speed,tPos
23-12-2017 06:01,24.076,25,47.0588,17,0,2049.5,31,0
23-12-2017 06:01,28.3356,25,56.8627,17,0,2389.75,36,0
23-12-2017 06:01,33.336,26,21.5686,17,0,2518.75,40,0
23-12-2017 06:01,37.4104,26,51.7647,17,0,1714.5,40,0
23-12-2017 06:01,38.7068,26,38.4314,17,0,1810,40,0
23-12-2017 06:01,41.2996,26,46.2745,17,0,1810,43,0
23-12-2017 06:01,43.1516,27,46.2745,17,0,1849.75,44,0
23-12-2017 06:01,44.0776,27,36.4706,17,0,1909,45,0
23-12-2017 06:01,45.1888,27,33.3333,17,0,1928.75,46,0
23-12-2017 06:01,45.1888,27,26.2745,17,0,1917.75,45,0
23-12-2017 06:01,45.1888,28,35.6863,17,0,1930,45,0
23-12-2017 06:01,45.1888,28,42.3529,16,0,1996.25,47,0
23-12-2017 06:01,46.4852,28,63.1373,16,0,2148.75,51,0
23-12-2017 06:01,49.8188,28,20.7843,16,0,2076.5,52,0
23-12-2017 06:01,52.0412,28,51.7647,16,0,1647.25,53,0
23-12-2017 06:01,52.782,29,24.3137,16,0,1625.25,53,0
23-12-2017 06:01,52.782,29,20,16,0,1625.25,52,0
23-12-2017 06:01,54.0784,29,20,16,0,1567,50,0
23-12-2017 06:01,54.4488,30,20.3922,16,0,1482.25,47,0
23-12-2017 06:01,48.152,30,21.9608,16,0,1217.5,43,0
23-12-2017 06:01,43.1516,30,33.3333,16,0,1064.75,35,0
23-12-2017 06:01,40.1884,30,37.2549,16,0,1071.25,23,0
23-12-2017 06:01,32.41,30,34.902,16,0,1025,14,0
23-12-2017 06:01,16.2976,30,78.8235,16,0,1055.75,16,0
23-12-2017 06:01,16.2976,31,63.5294,16,0,1515,23,0
23-12-2017 06:02,19.2608,31,60,16,0,1904.75,29,0
23-12-2017 06:02,23.8908,31,21.9608,16,0,2076.25,29,0
23-12-2017 06:02,27.5948,31,55.2941,16,0,2076.25,32,0
23-12-2017 06:02,31.6692,31,55.2941,16,0,1413.5,33,0
23-12-2017 06:02,31.6692,32,35.6863,16,0,1460.5,34,0
23-12-2017 06:02,33.7064,32,31.3725,16,0,1449.5,34,0
23-12-2017 06:02,34.4472,32,21.5686,16,0,1394,33,0
23-12-2017 06:02,33.7064,32,30.9804,16,0,1364,31,0
23-12-2017 06:02,31.2988,32,23.9216,16,0,1274.25,30,0
23-12-2017 06:02,30.3728,32,24.3137,16,0,1184.75,28,0
23-12-2017 06:02,28.8912,33,32.9412,16,0,900.75,23,0
23-12-2017 06:02,25.3724,33,38.8235,16,0,902,20,0
23-12-2017 06:02,22.0388,33,38.8235,16,0,892.5,20,0
23-12-2017 06:02,18.8904,33,40,16,0,892.5,18,0
23-12-2017 06:02,17.2236,33,40,16,0,816.5,17,0
23-12-2017 06:02,15.3716,33,41.1765,16,0,808,14,0
23-12-2017 06:02,14.815999999999999,33,40.3922,16,0,868.25,10,0
23-12-2017 06:02,12.5936,33,40,16,0,867,7,0
23-12-2017 06:02,8.5192,33,40.3922,16,0,861.5,3,0
23-12-2017 06:02,5.556,34,39.6078,16,0,813.25,0,0
23-12-2017 06:02,0.1852,34,30.9804,16,0,427.25,0,0
23-12-2017 06:02,0,34,0,16,0,0,0,0
23-12-2017 06:02,0,34,0,16,0,0,0,0
23-12-2017 06:02,0,34,0,16,0,0,0,0
23-12-2017 06:02,0,34,0,16,0,0,0,0
23-12-2017 06:02,0,33,0,16,0,0,0,0
23-12-2017 06:02,0,33,0,16,0,0,0,0
23-12-2017 06:02,0,33,0,16,0,0,0,0
23-12-2017 06:02,0,33,46.2745,16,0,1101.5,0,0
23-12-2017 06:02,0,33,55.2941,16,0,735,0,0
23-12-2017 06:02,0,33,61.1765,16,0,790.25,5,0
23-12-2017 06:02,0,33,47.451,16,0,949.25,7,0
23-12-2017 06:02,4.8152,33,49.4118,16,0,867.75,7,0
23-12-2017 06:02,5.7412,34,46.6667,16,0,903.5,7,0
23-12-2017 06:02,6.2968,34,38.4314,16,0,892.5,7,0
23-12-2017 06:02,5.9264,34,40.3922,16,0,892.5,5,0
23-12-2017 06:02,2.4076,34,40.3922,16,0,822.5,1,0
23-12-2017 06:02,0,34,0,16,0,132.25,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,34,0,16,0,0,1,0
23-12-2017 06:02,0,33,0,16,0,0,1,0
23-12-2017 06:02,0,33,0,16,0,0,1,0
23-12-2017 06:02,0,33,0,16,0,0,1,0
23-12-2017 06:02,0,33,0,16,0,0,1,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:02,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
